node_id,current_institution,historical_institution,city,country,node_type,current_object_proof,current_count,current_count_date,baseline_2017_match,deep_status,deep_module,evidence_grade,next_action,notes
CENSUS-0011,Successor unresolved,Reform-Realschule Hamburg,Hamburg,Germany,school_collection,no,,,unresolved,historical_lead,,B,identify school successor and search current object evidence,"1887 workshop account lead: Reform-Realschule Hamburg, M 57.50."
CENSUS-0012,Successor unresolved,"Realgymnasium ... 'Johannesburg'",unresolved,unresolved,school_collection,no,,,unresolved,ocr_lead,,C,verify original ledger image before geographic search,"1887 account OCR reads a Realgymnasium and 'Johannesburg' with 121.50; place-name reading is too uncertain for normalization."
CENSUS-0013,Successor unresolved,Gymnasium Leitmeritz,Litoměřice,Czechia,school_collection,no,,,unresolved,historical_lead,,B,identify school/archive successor and current object evidence,"1887 workshop account lead."
CENSUS-0014,Successor unresolved,"...schule Leipzig",Leipzig,Germany,school_collection,no,,,unresolved,historical_lead,,B,identify exact school from ledger and keep separate from Universität Leipzig,"1887 account lead with M 17 may represent a second Leipzig educational node."
CENSUS-0015,Successor unresolved,König-Wilhelms-Gymnasium Breslau,Wrocław,Poland,school_collection,no,,,unresolved,historical_lead,,B,trace school successor and possible university/local-museum transfers,"1886 workshop ledger lead."
CENSUS-0016,Successor or owner unresolved,M. Wason,Burton-on-Trent,United Kingdom,individual_or_institution,no,,,unresolved,historical_lead,,C,identify M. Wason through directories/newspapers/institutional records,"1887 workshop account says 'M. Wason, Burton-on-Trent – Modelle'; identity and institutional context remain open."
CENSUS-0017,Indian Museum,Indian Museum,Calcutta / Kolkata,India,museum,unresolved,,,unresolved,deep_module_exists,06 v3: indian_museum_calcutta_blaschka_collection,A-,verify transaction semantics against original ledger and recover current object proof,"1884 workshop account contains Indian Museum in Calcutta. Current survival remains the decisive census question."
CENSUS-0018,University of Münster successor collection,Prof. König / Münster university context,Münster,Germany,university_collection,no,,,unresolved,historical_lead,,B,identify Prof. König and relevant zoological teaching collection,"1885 workshop-side lead."
CENSUS-0019,Institutional successor to normalize,Royal College Dublin,Dublin,Ireland,university_or_museum,unresolved,,,unresolved,calibration_lead,,B,match ledger node against existing Irish backend and 2017 baseline,"1885 workshop-side customer; probably useful as a control for measuring ledger-to-surviving-baseline correspondence."
CENSUS-0020,Lund University Biological Museum - Zoological Collections,former Lund Zoological Museum,Lund,Sweden,university_collection,unresolved,,1995 explicit survival report; current successor collection active 2025-2026,unresolved,historical_survival_lead,,A-,search MZLU internal inventory and historical teaching-model records; ask curator for Blaschka or early glass sea-anemone models,"Chris Meechan reported surviving early pre-1870 Blaschka sea anemones in Lund in 1995. Lund University's current Biological Museum is the merger-successor of the former Zoological Museum and retains major nineteenth-century zoological collections, but no modern object-specific Blaschka record has yet been recovered. High-priority survival-to-successor crosswalk."
CENSUS-0021,Spurlock Museum / University of Illinois Urbana-Champaign,University of Illinois Museum of Natural History,Urbana-Champaign,United States,university_museum,unresolved,,historical university sources + institutional collection-history page,unresolved,successor_transfer_lead,,B+,search Spurlock accession/catalogue for Blaschka and trace Natural History Museum transfer lists circa 2001,"University of Illinois sources describe a large series of Blaschka glass models of invertebrates in the historical Museum of Natural History. The museum closed around 2001 and more than 420,000 artifacts were moved to Spurlock Museum. This establishes a successor-transfer route but not item-level survival of the Blaschka subset."
CENSUS-0022,Queensland Museum,Queensland Museum,Brisbane,Australia,museum,no,,,unresolved,historical_proposal_lead,,B,locate 1885 trustees minutes and acquisition/accession evidence before any promotion,"Queensland Museum trustees proposed procuring a few Blaschka glass models in 1885 and workshop catalogue-mailing evidence names Brisbane. Existing deep-backend guard explicitly treats this as an uncompleted/verification lead because purchase or receipt has not been proven."
CENSUS-0023,University of Sydney / Chau Chak Wing Museum successor context,University of Sydney teaching collection,Sydney,Australia,university_collection,unresolved,,2024-2025 official Micro:Macro exhibition confirms Blaschka glass works physically present; ownership unresolved,unresolved,current_presence_ownership_unresolved,,A,search Micro:Macro object checklist/collection database for museum numbers and acquisition credit; reconcile with Australian Museum 1884 loan and any later return/transfer records,"University of Sydney's official 2024 Micro:Macro coverage explicitly states that Blaschka glass works featured in the exhibition, giving recent physical-presence proof at Chau Chak Wing Museum. Historical research shows the Frič teaching collection was transferred on loan from the Australian Museum to the University in 1884 and some items remained at the Museum. Until an exhibit object record, museum number or acquisition credit establishes which Blaschka models were shown and who owns them, do not count Sydney as a third independent Australian holder."
CENSUS-0024,Queen's University Belfast,Queen's College / Queen's University Belfast,Belfast,United Kingdom,university_collection,no,,2008 and 2016 comprehensive Irish collection audits,unresolved,historical_loss_or_unverified,,A,reopen only if current physical evidence or an identifiable transfer endpoint emerges,"Workshop correspondence proves a Belfast order to Prof. Robert Oliver Cunningham, estimated at 45-55 models from the price. The 2008 Dublin Congress review states no known surviving Blaschka models at QUB or Ulster Museum; the 2016 Irish audit likewise concluded the QUB collection could not be located and apparently no longer existed. This row is the historical counterpart to HOLD-0008's explicit exclusion from current-holder tally."
CENSUS-0025,King's College London - Museum of Life Sciences,King's College London zoological teaching collection,London,United Kingdom,university_collection,unresolved,,mid-1990s Meechan comparative-location file,unresolved,science_museum_transfer_candidate,,B+,resolve the annotation 'To Kings College. 937/056' against original Science Museum disposal/register records and search current KCL zoological teaching collection,"Meechan's Cardiff working file places King's College against 22 model types. Psolus phantopus has the unusually explicit destination annotation 'To Kings College. 937/056'. This is a strong clue that King's may be one of the seven institutions receiving deaccessioned Science Museum Blaschkas in 1925-1927, but neither transfer date nor current physical survival is yet closed."
CENSUS-0026,Birkbeck University of London successor context,Birkbeck College zoological teaching collection,London,United Kingdom,university_collection,unresolved,,mid-1990s Meechan comparative-location file,unresolved,meechan_comparative_location_lead,,B,search pre-1930 zoology teaching inventories and Science Museum disposal correspondence; then trace any surviving teaching collections,"Meechan's comparative Model Locations field places Birkbeck College against seven Blaschka model types. No explicit transfer note or current object record has yet been recovered, so this remains a bounded historical lead rather than a holder."
CENSUS-0027,Royal Holloway University of London successor context,Bedford College zoological collection,London / Egham,United Kingdom,university_collection,unresolved,,mid-1990s Meechan comparative-location file + current Royal Holloway collection history,unresolved,war_loss_successor_lead,,B,identify the five Meechan Bedford model types and test them against pre-1941 Bedford registers and the handful of specimens reported to have survived wartime destruction,"Meechan's comparative file places Bedford College against five Blaschka model types. Royal Holloway's current biological-collections history states that the Bedford zoological and botanical museums were largely destroyed in the 1941 bombing, with only a handful of specimens surviving. This creates a precise survival test: determine whether any of the Meechan-listed Blaschkas belonged to that surviving handful or were recorded only from pre-war catalogues."
