entry_id,country,institution_current,collection_title_or_search_entry,date_range,subject_scope,stated_count,relationship_phrase,physical_structure,source_url,unit_level,production_period,subject_cluster,commercial_or_institutional,circulation_mode,count_namespace,historical_actor_role,analysis_review,analysis_basis
UK-RMG-HERSCHEL-CABINET-SLIDES-1880,UK,Royal Museums Greenwich,"Microscope slides from Herschel family 15-drawer cabinet","two slides dated 1880; cabinet family context nineteenth century","experimental microscopic specimens; crystalline carbon; family scientific practice","3 mounted microscopic specimens in this object; two dated 1880; cabinet context has 15 drawers","assembled by; used by; held by","slides retained within Herschel family cabinet context",https://www.rmg.co.uk/collections/objects/rmgc-object-260233,named_collection,late_19c_1870_1899,experimental_physical_science,personal_research_collection,retained_without_explicit_transfer,specimen_object_or_mixed_count,collector_assembler;user_researcher_teacher;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, commercial_or_institutional, circulation_mode."
UK-SMG-MICROSCOPE-SLIDE-CABINET-1867-1900,UK,Science Museum Group,"Microscope Slides Cabinet Y2001.223","slides prepared 1867-1900; cabinet dated 1890-1900","mixed Victorian preparations; zoology; botany; geology","large collection; exact slide count to enumerate","prepared by various makers; grouped in; held by","wooden microscope slide cabinet; parts include Y2001.223/1 slide collection and accessories",https://collection.sciencemuseumgroup.org.uk/objects/co8614660/microscope-slides-cabinet,container_assemblage,mixed_19c_plus_20c,general_mixed_microscopy,institutional_teaching_research,retained_without_explicit_transfer,unstated_or_unresolved,preparer_mounter_producer;collector_assembler;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: subject_cluster, commercial_or_institutional, circulation_mode."
UK-WHIPPLE-CHARLES-ELCOCK-ARCHIVE-1872-1910,UK,"Whipple Museum of the History of Science, University of Cambridge","Charles Elcock microscope slide archive","1872-1910; strict nineteenth-century layer 1872-1899","mixed natural history; commercial and amateur microscopy","617 parts in cabinet 6601.1 plus multiple cabinets trays tools packets and documents","assembled by; used by; held by","large mahogany cabinet with 24 fitted drawers; second cabinet with 11 drawers; small 12-tray cabinet; loose tray; tools chemicals specimens and papers",https://collections.whipplemuseum.cam.ac.uk/objects/15311,mixed_parent_collection,mixed_19c_plus_20c,general_mixed_microscopy,institutional_teaching_research,retained_without_explicit_transfer,specimen_object_or_mixed_count,collector_assembler;user_researcher_teacher;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: subject_cluster, commercial_or_institutional, circulation_mode."
UK-NHM-HERON-ALLEN-FORAM-SLIDES-1873,UK,Natural History Museum London,"Heron-Allen foraminifera slide collection","collection specimens gathered 1873-1930s; strict nineteenth-century layer present","foraminifera; marine microscopy; taxonomic reference collection","740 slides; collection specimens gathered 1873-1930s","collected by; held by; catalogued by","microscope slides in foraminifera collection; item catalogue available",https://www.nhm.ac.uk/our-science/collections/palaeontology-collections/micropalaeontology-collections/foraminifera-collections.html,mixed_parent_collection,mixed_19c_plus_20c,foraminifera_protists,institutional_teaching_research,retained_without_explicit_transfer,current_or_mixed_period_aggregate;physical_slide_count,collector_assembler;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: commercial_or_institutional, circulation_mode, count_namespace."
US-NMAH-FASOLDT-MICROSCOPE-SLIDE-1884,US,Smithsonian National Museum of American History,"Fasoldt microscope test slide",1884,"microscope resolution test ruling; diagnostic medicine","1 catalogued example; object type also references batch of microscope slides","attributed to; held by","single microscope test slide",https://americanhistory.si.edu/collections/object/nmah_723377,single_slide,late_19c_1870_1899,medical_histology_pathology,unclear,retained_without_explicit_transfer,source_stated_quantity_other,institutional_custodian_cataloguer;attributed_or_uncertain,REVIEW,"Derived only from frozen catalogue wording. Low-confidence fields: commercial_or_institutional. Medium-confidence fields: circulation_mode."
UK-SMG-HORROCKS-HISTOLOGY-CABINET-209-1883,UK,Science Museum Group,"Horrocks histology cabinet",1883,"histology; medical microscopy; teaching","209 slides in one cabinet","prepared by; used by; held by","cabinet containing labelled histological slides",https://collection.sciencemuseumgroup.org.uk/search/objects?q=Horrocks%20microscope%20slides,named_collection,late_19c_1870_1899,medical_histology_pathology,institutional_teaching_research,retained_without_explicit_transfer,physical_slide_count,preparer_mounter_producer;user_researcher_teacher;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, commercial_or_institutional, circulation_mode."
UK-SMG-HORROCKS-BOX-150-1860,UK,Science Museum Group,"Horrocks microscope slide box","circa 1860; later collected by museum","parasites; human histology; medical microscopy","150 slides in 10 trays","prepared by; collected later by; held by","wooden slide box with ten trays",https://collection.sciencemuseumgroup.org.uk/search/objects?q=Horrocks%20microscope%20slides,container_assemblage,mid_19c_1840_1869,medical_histology_pathology,institutional_teaching_research,retained_without_explicit_transfer,physical_slide_count;container_count_or_capacity,preparer_mounter_producer;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: commercial_or_institutional, circulation_mode, count_namespace."
US-YALE-LENTZ-MICROSCOPY-SLIDES-19C,US,Yale Peabody Museum,"Lentz Microscopy and Histology Collection historical slide layer","nineteenth-century layer within collection spanning c.1820-2008","microscopy; histology; teaching; historical instruments and preparations","over 4000 slides total including explicit nineteenth-century slides slide sets and cabinets","assembled by; held by","mixed microscopy/histology collection with slides sets cabinets and related material",https://peabody.yale.edu/explore/collections/history-science-technology/lentz-collection,mixed_parent_collection,spans_19c_periods,medical_histology_pathology,institutional_teaching_research,retained_without_explicit_transfer,current_or_mixed_period_aggregate;physical_slide_count,collector_assembler;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: production_period, commercial_or_institutional, circulation_mode, count_namespace."
UK-STANDREWS-MCINTOSH-SLIDES-1860,UK,University of St Andrews,"McIntosh microscope slides",1860-1931,"zoology; histology; university teaching","62 slides in the current mixed-period 1860-1931 group; nineteenth-century subtotal unresolved","assembled by; used by; held by","university teaching/research slide group",https://collections.st-andrews.ac.uk/collections/collection/mcintosh-zoological-microscope-slides/2101747,mixed_parent_collection,mixed_19c_plus_20c,zoology_invertebrates,institutional_teaching_research,retained_without_explicit_transfer,current_or_mixed_period_aggregate;physical_slide_count;unstated_or_unresolved,collector_assembler;user_researcher_teacher;institutional_custodian_cataloguer,CHECK,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: commercial_or_institutional, circulation_mode, count_namespace."
UK-STANDREWS-NAPOLI-FRITZ-MEYER-SLIDES-1881,UK,University of St Andrews,"Stazione Zoologica Napoli / Fritz Meyer slides","1881 catalogue context; surviving group nineteenth century","marine zoology; teaching slides; station supply","surviving St Andrews group count to enumerate; 1881 station catalogue offered 423 different slides","purchased by; held by","group of station-prepared slides within teaching collection",https://collections.st-andrews.ac.uk/search/?q=Naples%20microscope%20slides,named_collection,late_19c_1870_1899,zoology_invertebrates,institutional_teaching_research,sale_purchase,unstated_or_unresolved,buyer_recipient_donee;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, commercial_or_institutional, count_namespace."
UK-SMG-DANCER-MICROPHOTOGRAPHS-34-1853,UK,Science Museum Group,"John Benjamin Dancer microphotographs, 34-slide group",1853,"microphotography; commercial microscopy","34 microphotographs","prepared by; sold by; held by","glass-slide microphotographs",https://collection.sciencemuseumgroup.org.uk/search/objects?q=John%20Benjamin%20Dancer%20microphotographs,named_collection,mid_19c_1840_1869,microphotography_optical_media,commercial_trade,sale_purchase,mounted_media_count,preparer_mounter_producer;publisher_distributor_seller;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, commercial_or_institutional."
UK-SMG-DANCER-MICROPHOTOGRAPHS-44-1860,UK,Science Museum Group,"John Benjamin Dancer microphotographs, 44-slide group","circa 1860","microphotography; commercial microscopy","44 microphotographs","prepared by; sold by; held by","glass-slide microphotographs",https://collection.sciencemuseumgroup.org.uk/search/objects?q=John%20Benjamin%20Dancer%20microphotographs,named_collection,mid_19c_1840_1869,microphotography_optical_media,commercial_trade,sale_purchase,mounted_media_count,preparer_mounter_producer;publisher_distributor_seller;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, commercial_or_institutional."
UK-SMG-DANCER-MICROPHOTOGRAPHS-14-1860,UK,Science Museum Group,"John Benjamin Dancer microphotographs, 14-slide group","circa 1860","microphotography; commercial microscopy","14 microphotographs","prepared by; sold by; held by","glass-slide microphotographs",https://collection.sciencemuseumgroup.org.uk/search/objects?q=John%20Benjamin%20Dancer%20microphotographs,named_collection,mid_19c_1840_1869,microphotography_optical_media,commercial_trade,sale_purchase,mounted_media_count,preparer_mounter_producer;publisher_distributor_seller;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, commercial_or_institutional."
NL-UMU-PHOEBUS-CINCHONA-150-1864,NL,Utrecht University Museum,"Phoebus cinchona microscope-slide set",1864,"botany; pharmacognosy; histology; teaching","150 slides in two sets: 125 plus 25","prepared by; purchased by; held by","two bounded botanical slide sets",https://umu.nl/collectie/microscopische-preparaten-van-kinabast,bounded_set,mid_19c_1840_1869,medical_histology_pathology,institutional_teaching_research,sale_purchase,physical_slide_count,preparer_mounter_producer;buyer_recipient_donee;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: commercial_or_institutional, circulation_mode."
AU-POWERHOUSE-BOX-19-SLIDES-1860,AU,Powerhouse Collection,"Box of 19 microscope slides","circa 1860","prepared biological and mineralogical slides; commercial microscopy","19 glass slides","prepared by; held by","box containing 19 glass slides",https://collection.powerhouse.com.au/object/255204,bounded_set,mid_19c_1840_1869,geology_petrography_palaeobotany,commercial_trade,retained_without_explicit_transfer,physical_slide_count,preparer_mounter_producer;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: commercial_or_institutional, circulation_mode."
US-FARLOW-CLEVE-MOLLER-DIATOMS-1877,US,"Farlow Herbarium, Harvard University","Cleve & Möller Diatoms Parts I-VI institutional copy",1877-1882,"diatoms; global specimen exchange; published exsiccatae","published serial range 1-324 across Parts I-VI; extant Farlow copy count not independently stated","prepared by; published by; distributed to; held by","numbered microscope-slide set containing material from many contributors",https://diatoms.hsites.harvard.edu/collections/cleve-moller-diatoms,bounded_set,late_19c_1870_1899,diatoms_phycology,published_distributed_set,exchange_distribution,serial_or_register_range,preparer_mounter_producer;publisher_distributor_seller;sender_exchanger_transporter;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: count_namespace."
US-FARLOW-EULENSTEIN-DIATOMACEARUM-1867,US,"Farlow Herbarium, Harvard University","Eulenstein Diatomacearum Species Typicae","1867 onward","diatoms; published exsiccatae; serial specimens","Farlow holds copies of Century I editions 1 and 2, each using serial range 1-100; 23 Century II slides are explicitly surviving and individually listed","prepared by; published by; distributed to; held by","published numbered slide series",https://diatoms.hsites.harvard.edu/collections/eulenstein-diatomacearum-species-typicae,named_collection,mid_19c_1840_1869,diatoms_phycology,published_distributed_set,exchange_distribution,serial_or_register_range;physical_slide_count,preparer_mounter_producer;publisher_distributor_seller;sender_exchanger_transporter;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, count_namespace."
US-FARLOW-HL-SMITH-DIATOMACEARUM-1876,US,"Farlow Herbarium, Harvard University","Hamilton Lanphere Smith Diatomacearum Species Typicae","1876 onward","diatoms; published exsiccatae; serial specimens","published serial range 1-750: centuries I-VI use 1-600 and supplement 601-750; extant Farlow copy count not independently stated","prepared by; published by; distributed to; held by","published numbered slide series",https://diatoms.hsites.harvard.edu/collections/hamilton-lanphere-smith-diatomacearum-species-typicae,named_collection,late_19c_1870_1899,diatoms_phycology,published_distributed_set,exchange_distribution,serial_or_register_range,preparer_mounter_producer;publisher_distributor_seller;sender_exchanger_transporter;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, count_namespace."
US-FARLOW-VAN-HEURCK-GRUNOW-TYPES-1882,US,"Farlow Herbarium, Harvard University","Van Heurck & Grunow Types du Synopsis des Diatomées de Belgique","1882 onward","diatoms; type slides; published distributed reference material","published serial range 1-550 across series I-XXII; extant Farlow copy count not independently stated","prepared by; published by; distributed to; held by","published numbered slide series",https://diatoms.hsites.harvard.edu/collections/van-heurck-grunow-types-du-synopsis-des-diatomees-de-belgique,named_collection,late_19c_1870_1899,diatoms_phycology,published_distributed_set,exchange_distribution,serial_or_register_range,preparer_mounter_producer;publisher_distributor_seller;sender_exchanger_transporter;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, count_namespace."
US-FARLOW-KITTON-NORFOLK-DIATOMS-1885,US,"Farlow Herbarium, Harvard University","Frederick Kitton Norfolk Diatoms",1885,"diatoms; local reference series; published slides","published serial range 1-100 across series I-IV; extant Farlow copy count not independently stated","prepared by; published by; distributed to; held by","published numbered slide series",https://diatoms.hsites.harvard.edu/collections/kitton-norfolk-diatoms,named_collection,late_19c_1870_1899,diatoms_phycology,published_distributed_set,exchange_distribution,serial_or_register_range,preparer_mounter_producer;publisher_distributor_seller;sender_exchanger_transporter;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, count_namespace."
UK-SMG-PRITCHARD-11-SLIDES-1835,UK,Science Museum Group,"Andrew Pritchard case of eleven microscope slides",1835,"microscopy; prepared objects; early commercial microscopy","11 microscope slides","prepared by; sold by; held by","small case containing eleven slides",https://collection.sciencemuseumgroup.org.uk/objects/co8410935/microscope-slides,bounded_set,early_19c_1800_1839,general_mixed_microscopy,commercial_trade,sale_purchase,physical_slide_count,preparer_mounter_producer;publisher_distributor_seller;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: subject_cluster, commercial_or_institutional."
UK-SMG-LANKESTER-MICROSCOPE-SLIDES-1852,UK,Science Museum Group,"Lankester microscope slides","1852 and later nineteenth-century use","microscopy; public health; water examination; cholera; scientific practice","at least one catalogued microscope slide plus a bag of square slides and a broken/corroded slide fragment","used by; held by","mixed surviving slide fragments and complete slide material",https://collection.sciencemuseumgroup.org.uk/search/objects?q=Lankester%20microscope%20slides,named_collection,mid_19c_1840_1869,medical_histology_pathology,institutional_teaching_research,retained_without_explicit_transfer,physical_slide_count,user_researcher_teacher;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, commercial_or_institutional, circulation_mode."
UK-WHIPPLE-DANCER-WHEELER-CABINET-1850-1900,UK,"Whipple Museum of the History of Science, University of Cambridge","Dancer / Wheeler microscope slide cabinet",1850-1900,"microphotography; commercial microscopy; prepared slides","10-drawer cabinet; one signed EW set contains 16 slides; total cabinet count unstated","prepared by; assembled by; held by","ten-drawer slide cabinet with named subsets",https://collections.whipplemuseum.cam.ac.uk/search/?q=Dancer%20Wheeler%20slides,container_assemblage,mixed_19c_plus_20c,microphotography_optical_media,commercial_trade,retained_without_explicit_transfer,physical_slide_count;container_count_or_capacity;unstated_or_unresolved,preparer_mounter_producer;collector_assembler;institutional_custodian_cataloguer,CHECK,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: commercial_or_institutional, circulation_mode, count_namespace."
UK-NMS-72-MICROSCOPE-SLIDES-LATE19C,UK,National Museums Scotland,"Box of seventy-two microscope slides T.1997.67.1-72","late nineteenth century","microscopy; natural-history/science collection context","72 microscope slides","held by; catalogued as subpoints","box of 72 slides",https://www.nms.ac.uk/explore-our-collections/collection-search-results/?item_id=,bounded_set,late_19c_1870_1899,general_mixed_microscopy,unclear,retained_without_explicit_transfer,physical_slide_count,institutional_custodian_cataloguer;other_explicit_role,REVIEW,"Derived only from frozen catalogue wording. Low-confidence fields: commercial_or_institutional. Medium-confidence fields: production_period, subject_cluster, circulation_mode."
US-FARLOW-JW-BAILEY-1200-SLIDES-1837,US,"Farlow Herbarium, Harvard University","Jacob Whitman Bailey Diatom Collection","1837 onward","diatoms; North American research; exchange network","about 1200 slides plus 400 dried samples","prepared by; collected by; exchanged with; bequeathed to; gifted to; held by","personal research collection organized in boxes and series",https://diatoms.hsites.harvard.edu/collections/jacob-whitman-bailey,named_collection,early_19c_1800_1839,diatoms_phycology,personal_research_collection,gift_donation_presentation;exchange_distribution,physical_slide_count;specimen_object_or_mixed_count,preparer_mounter_producer;collector_assembler;sender_exchanger_transporter;institutional_custodian_cataloguer,CHECK,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, commercial_or_institutional, count_namespace."
US-FARLOW-BSNH-MICROSCOPY-2000-1857,US,"Farlow Herbarium, Harvard University","Boston Society of Natural History diatom slide collection","1857 onward","diatoms; microscopy; institutional exchange","about 2000 slides plus 50 dried samples","assembled by; transferred to; held by","institutional collection of slides and dried material",https://diatoms.hsites.harvard.edu/collections/boston-society-natural-history,named_collection,mid_19c_1840_1869,diatoms_phycology,institutional_teaching_research,institutional_transfer_deposit,physical_slide_count;specimen_object_or_mixed_count,collector_assembler;institutional_custodian_cataloguer,CHECK,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, commercial_or_institutional, count_namespace."
UK-NHM-WILLIAM-SMITH-DIATOM-PREPS-1853,UK,Natural History Museum London,"William Smith diatom microscope-slide collection","before Smith's death 1857; major work 1853-1856","diatoms; British localities; taxonomic reference material","exact William Smith slide count to enumerate from Data Portal; museum-wide diatom slide total 150000 is mixed-period","prepared by; collected by; held by; catalogued by; digitised by","historical diatom slides within modern museum-wide diatom collection",https://www.nhm.ac.uk/our-science/collections/botany-collections/diatoms.html,mixed_parent_collection,mid_19c_1840_1869,diatoms_phycology,institutional_teaching_research,retained_without_explicit_transfer,current_or_mixed_period_aggregate;unstated_or_unresolved,preparer_mounter_producer;collector_assembler;institutional_custodian_cataloguer,CHECK,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: commercial_or_institutional, circulation_mode, count_namespace."
UK-RCS-QUEKETT-2500-1846,UK,"Hunterian Museum, Royal College of Surgeons of England","John Thomas Quekett microscope-slide collection","1846 purchase; Quekett 1815-1861","histology; anatomy; pathology; zoology; microscopy","2500 microscopical preparations purchased by the College in 1846; current wider slide collection over 15000","prepared by; purchased by; held by","historical microscope preparations within later Hunterian slide collection",https://hunterianmuseum.org/collections/microscope-slides,mixed_parent_collection,mid_19c_1840_1869,medical_histology_pathology,institutional_teaching_research,sale_purchase,current_or_mixed_period_aggregate;preparation_or_thin_section_count,preparer_mounter_producer;buyer_recipient_donee;institutional_custodian_cataloguer,CHECK,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: commercial_or_institutional, count_namespace."
UK-RCS-JOHN-TOMES-DENTAL-SLIDES-1838-1856,UK,"Hunterian Museum, Royal College of Surgeons of England","John Tomes dental microscope slides",1838-1856,"dental histology; comparative anatomy; tooth sections","selection survives; exact total unstated","prepared by; donated by; held by","historical dental slide selection",https://hunterianmuseum.org/collections/microscope-slides,named_collection,spans_19c_periods,medical_histology_pathology,institutional_teaching_research,gift_donation_presentation,unstated_or_unresolved,preparer_mounter_producer;donor_bequeather_depositor;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: unit_level, production_period, commercial_or_institutional."
UK-RCSED-CATHCART-MICROSCOPICAL-CUPBOARD-1890,UK,Royal College of Surgeons of Edinburgh,"Cathcart microscopical cupboard and preparation collection","1890 onward","pathology; histology; surgical teaching; microscopy","cupboard purchased in 1890 and stated to remain in use; slide/preparation count unstated","purchased by; used by; held by","microscopical cupboard retaining preparations",https://museum.rcsed.ac.uk/the-collections/pathology,mixed_parent_collection,late_19c_1870_1899,medical_histology_pathology,institutional_teaching_research,sale_purchase,unstated_or_unresolved,buyer_recipient_donee;user_researcher_teacher;institutional_custodian_cataloguer,,"Derived only from frozen catalogue wording. Low-confidence fields: none. Medium-confidence fields: commercial_or_institutional, count_namespace."
